curve_num,n_points,n_unique_time,time_min,time_max,pop_min,pop_max,PopBio_units
1,22,22,-0.9237875288686149,479.4457274826789,0.005327174749806931,0.17663433410315502,OD_595
2,15,15,-0.27906392729897805,143.846101528207,0.010610079575597498,0.14323607427055798,OD_595
3,15,15,0.558882235528927,143.912175648703,0.013368983957219499,0.13903743315508005,OD_595
4,29,29,-1.2681237560616399,671.950310252824,0.012496379870230001,0.0539932342085316,OD_595
5,22,22,-1.1368683772161599e-13,480.369515011547,0.00802463433410305,0.24789530408006105,OD_595
6,14,14,-0.276134122288056,143.86587771203202,0.015920351158057906,0.19803389156582404,OD_595
7,16,16,0.004456327985764119,144.01143790849704,0.016042780748662694,0.441176470588235,OD_595
8,29,29,-2.2737367544323196e-13,671.805273833671,0.017595307917888405,0.13020527859237505,OD_595
9,25,25,1.8475750577366599,480.369515011547,0.0027405696689759606,0.226586605080831,OD_595
10,15,15,-0.276134122287999,143.86587771203202,0.005310271582461109,0.409780316942121,OD_595
11,16,16,0.28149138443259897,143.91117052881697,0.0133689839572189,0.36631016042780706,OD_595
12,29,29,-3.410605131648479e-13,670.5882352941171,0.00879765395894438,0.11085043988269798,OD_595
13,11,11,11.347167846751299,194.04377312512895,0.9767049833019299,3566.34452917529,CFU
14,10,10,23.868312757201696,165.43209876543202,0.9793821813312397,819.2041607667641,CFU
15,12,12,24.521774521774297,193.96200861717904,1.0043409693753902,428.555537731446,CFU
16,9,9,11.674664962487201,104.958709482186,1.7960216078595197,3917.9932132229305,CFU
17,9,9,20.5761316872428,101.646090534979,1.5488302986341296,1364.7820165072599,CFU
18,8,8,21.223667775391696,102.43954640506301,1.4196264727828696,534.0094946226191,CFU
19,10,10,3.4872370690899905,49.968434852462096,1.4381302253279598,1457.57227202074,CFU
20,8,8,11.522633744856,47.325102880658406,1.3956124250860902,457.14471326891,CFU
21,8,8,3.0840806702875905,47.1962584031545,1.31604750701147,425.239720821317,CFU
22,9,9,47.80461462349279,547.6529356781731,1.29504408649357,771.6116035580791,CFU
23,10,10,48.14814814814821,547.7366255144028,1.02105186214511,371.17240815363806,CFU
24,10,10,48.43304843304799,555.2860932171222,1.2385342800046295,397.7166157175689,CFU
25,6,6,141.807983165255,501.557716638347,1.3236814964708599,11799.713302641101,CFU
26,7,7,71.604938271605,500.24691358024694,1.25232271619186,474.613125718313,CFU
27,7,7,72.3443223443217,506.8698861802261,1.68437311276258,905.4836205185771,CFU
28,12,12,-0.349157715244729,316.106626690119,0.9807115293452889,8259.2790789734,CFU
29,14,14,0.8230452674897322,314.07407407407396,0.9793821813312397,2871.2420925789,CFU
30,14,14,-0.626289419392833,317.64101160652604,0.9685110388543289,2089.8050025236703,CFU
31,12,12,13.224438860112498,213.39043027847603,1.0540855790664903,1119.21099828323,CFU
32,12,12,24.2718446601942,192.718446601942,1.04998983986637,467.005700118048,CFU
33,12,12,13.293006511331201,206.138176623676,0.9962399136408341,680.025384910909,CFU
34,9,9,20.873378121955003,116.82257209771397,1.4382279980130799,1323.05640394134,CFU
35,10,10,10.6796116504854,102.42718446601901,1.1575913956831998,1487.53854364841,CFU
36,9,9,16.893155128479204,111.39007929641,1.1248314329943998,343.942358872367,CFU
37,9,9,8.359488520778882,56.75590201206911,1.4042577392250202,467.74445743382006,CFU
38,8,8,12.621359223300999,48.0582524271845,1.7101573192660502,540.601780191663,CFU
39,6,6,22.5026890203144,54.3319099339367,2.78844646298452,269.9862588202349,CFU
40,9,9,50.13338290852531,597.6371437851519,1.02918858084708,2265.4208772352604,CFU
41,10,10,72.3300970873786,550.970873786408,1.0759142139051796,610.7172867874899,CFU
42,10,10,49.09913578110531,576.3674134848007,1.1152975249115604,396.05364651485405,CFU
43,7,7,75.7657657657658,546.766073473854,1.15984384787522,2583.71091070578,CFU
44,6,6,144.17475728155296,502.912621359223,5.514147559752549,1399.5449667537998,CFU
45,6,6,149.79166454598797,526.830484837997,3.1966228974686697,498.94179168682103,CFU
46,14,14,-1.3985332581157799,344.53318118877894,1.00487963784124,1355.0623293335698,CFU
47,13,13,0.970873786407779,315.53398058252395,1.02469011894639,2513.0898542715304,CFU
48,15,15,-0.7726904114794592,333.734141566316,1.0001399745752901,1025.9316507564201,CFU
49,17,17,23.1958762886598,595.3608247422678,2.744361740346631,244.04630502109598,CFU
50,8,8,3.0927835051546397,236.59793814433002,2.7182818284590504,295.399476201036,CFU
51,5,5,3.0927835051546397,91.23711340206191,2.744361740346631,646.328648475562,CFU
52,8,8,3.0927835051546397,218.04123711340202,2.744361740346631,46.33574214905071,CFU
53,11,11,1.5463917525773396,334.020618556701,2.7182818284590504,646.328648475562,CFU
54,14,14,1.5516700678572,438.9426463837541,2.72250258330189,75.5350862686161,CFU
